"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.033225000E-2,-1.009950042E0,5.695050240E0,6.717000484E0
4.943093000E-2,-1.042050004E0,5.589000225E0,6.993000507E0
6.852936800E-2,-8.880000710E-1,5.182050228E0,7.621950150E0
8.762784600E-2,-7.879500389E-1,4.825050354E0,8.005949974E0
1.067263740E-1,-6.130500436E-1,4.564949989E0,8.341050148E0
1.258248290E-1,-6.820500493E-1,4.294050217E0,8.820000648E0
1.449235090E-1,-7.849500179E-1,4.083000183E0,9.364950180E0
1.640219910E-1,-1.234950066E0,4.066950321E0,9.375000000E0
1.831204410E-1,-1.498950124E0,3.733950138E0,9.487950325E0
2.022189750E-1,-1.671000123E0,3.207000256E0,9.688950539E0
2.213174150E-1,-2.233950138E0,3.066000223E0,9.811050415E0
2.404161300E-1,-2.205000162E0,2.944050074E0,9.693000793E0
2.595146080E-1,-1.867950082E0,2.734950066E0,9.700950623E0
2.786130980E-1,-1.282950044E0,2.326050043E0,9.832050323E0
2.977115310E-1,-1.077000022E0,2.416950226E0,1.038300037E1
3.168100340E-1,-1.561050057E0,2.446050167E0,1.008105087E1
3.359085130E-1,-1.635000110E0,2.368950129E0,9.708000183E0
3.550072030E-1,-1.855950117E0,2.656050205E0,9.732000351E0
3.741056460E-1,-1.978050113E0,2.628000021E0,9.889950752E0
3.932041590E-1,-1.333950043E0,2.256000042E0,1.031100082E1
4.123026380E-1,-6.199500561E-1,2.227950096E0,1.083795071E1
4.314010940E-1,5.020500422E-1,3.118050098E0,9.804000854E0
4.504997850E-1,1.411950111E0,2.659050226E0,1.138395023E1
4.695982380E-1,1.759050131E0,1.147950053E0,1.127895069E1
4.886966940E-1,1.890000105E0,8.130000234E-1,9.793950081E0
5.077952540E-1,2.029050112E0,1.207950115E0,1.043100071E1
5.268937570E-1,8.149500489E-1,2.460000038E0,1.065405083E1
5.459922270E-1,-5.580000281E-1,3.073050261E0,1.025895023E1
5.650908840E-1,-1.003050089E0,3.436950207E0,9.421050072E0
5.841893280E-1,-2.730000019E-1,3.906000137E0,8.923050880E0
6.032879080E-1,8.730000257E-1,4.306050301E0,8.841000557E0
6.223863860E-1,1.645950079E0,4.402050018E0,8.447999954E0
6.414850530E-1,1.246050000E0,4.296000004E0,8.347949982E0
6.605832950E-1,5.539500117E-1,3.801000118E0,8.542050362E0
6.796820190E-1,-1.200000048E-1,3.445950270E0,8.542050362E0
6.987804960E-1,-4.789500237E-1,3.838950157E0,8.451000214E0
