"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.033225000E-2,-8.164749742E-1,-6.481750011E-1,-3.982000053E-1
5.420412000E-2,-1.002237439E0,-1.068512440E0,-5.924875140E-1
5.897890500E-2,-1.013237476E0,-1.096562505E0,-5.985375047E-1
6.375344500E-2,-1.016950011E0,-1.100275040E0,-6.034874916E-1
8.375344500E-2,-1.014474988E0,-9.512249827E-1,-5.912500024E-1
1.037534450E-1,-1.055999994E0,-7.154124975E-1,-5.960624814E-1
1.237534450E-1,-1.054762483E0,-4.478375018E-1,-6.705874801E-1
1.437534450E-1,-9.631875157E-1,-3.392125070E-1,-7.732999921E-1
1.637534450E-1,-8.861874938E-1,-3.037374914E-1,-8.808249831E-1
1.837534450E-1,-7.628499866E-1,-1.399749964E-1,-9.821624756E-1
2.037534450E-1,-5.550875068E-1,-4.368374944E-1,-8.306375146E-1
2.237534450E-1,-4.120875001E-1,-7.129374743E-1,-6.144874692E-1
2.437534450E-1,-3.937999904E-1,-8.241750002E-1,-4.665375054E-1
2.637534450E-1,-5.135625005E-1,-9.011750221E-1,-4.409624934E-1
2.837534450E-1,-5.355625153E-1,-6.348375082E-1,-7.145875096E-1
3.037534450E-1,-4.842749834E-1,-6.799374819E-1,-9.858750105E-1
3.237534450E-1,-5.403749943E-1,-8.571749926E-1,-1.008975029E0
3.437534450E-1,-5.941374898E-1,-9.597499967E-1,-8.881124854E-1
3.637534450E-1,-5.820375085E-1,-1.050225019E0,-5.777750015E-1
3.837534450E-1,-5.587999821E-1,-1.570662498E0,6.187499966E-3
4.037534450E-1,-2.679874897E-1,-1.569424987E0,3.312374949E-1
4.237534450E-1,-1.274625063E-1,-1.250562549E0,5.766749978E-1
4.437534450E-1,1.864500046E-1,9.778999686E-1,7.123875022E-1
4.637534450E-1,2.817375064E-1,-4.345000088E-1,6.732000113E-1
4.837534450E-1,5.187875032E-1,1.836999953E-1,6.634374857E-1
5.037534450E-1,8.131750226E-1,7.261375189E-1,4.680500031E-1
5.237534450E-1,1.089275002E0,1.054762483E0,2.969999909E-1
5.437534450E-1,1.260324955E0,9.876624942E-1,3.727625012E-1
5.637534450E-1,1.189512491E0,6.162750125E-1,7.136250138E-1
5.837534450E-1,1.000174999E0,1.751749963E-1,9.481999874E-1
6.037534450E-1,7.875999808E-1,-9.968750179E-2,8.406749964E-1
6.237534450E-1,5.700749755E-1,1.649999991E-3,6.696249843E-1
6.437534450E-1,3.990249932E-1,5.990874767E-1,5.010499954E-1
6.637534450E-1,2.243999988E-1,1.046237469E0,3.763374984E-1
6.837534450E-1,1.816374958E-1,1.373625040E0,5.499999970E-2
7.037534450E-1,3.574999869E-1,1.283287525E0,-4.959625006E-1
7.237534450E-1,4.930749834E-1,9.387124777E-1,-4.531999826E-1
7.437534450E-1,5.468375087E-1,4.476999938E-1,-3.834874928E-1
7.637534450E-1,4.699749947E-1,1.263625026E-1,-5.032500029E-1
7.837534450E-1,1.974499971E-1,-1.864500046E-1,-6.242499948E-1
8.037534450E-1,-4.564999789E-2,-5.053125024E-1,-7.145875096E-1
8.237534450E-1,-2.679874897E-1,-6.494125128E-1,-6.193000078E-1
8.437534450E-1,-4.072749913E-1,-1.546874940E-1,-2.051499933E-1
8.637534450E-1,-4.622749984E-1,-4.783625007E-1,-3.822500110E-1
8.837534450E-1,-3.449875116E-1,-7.862250209E-1,-4.079625010E-1
9.037534450E-1,-5.270375013E-1,-1.183325052E0,-3.504875004E-1
9.237534450E-1,-5.721374750E-1,-1.204087496E0,-2.539624870E-1
9.437534450E-1,-5.330874920E-1,-1.238325000E0,-2.906749845E-1
9.637534450E-1,-4.573250115E-1,-1.518137455E0,-2.211000025E-1
9.837534450E-1,-5.330874920E-1,-1.615900040E0,-1.684374958E-1
1.003753445E0,-9.887624979E-1,-1.217562437E0,-1.819124967E-1
1.023753445E0,-1.175762534E0,-1.089275002E0,-1.025749967E-1
1.043753445E0,-1.101237535E0,-9.964625239E-1,-1.038125008E-1
1.063753445E0,-9.814749956E-1,-9.329375029E-1,-9.157499671E-2
1.083753445E0,-7.799000144E-1,-8.877000213E-1,-2.320999950E-1
1.103753445E0,-6.210874915E-1,-1.248087525E0,-5.117750168E-1
1.123753445E0,-4.683249891E-1,-1.520475030E0,-6.462500095E-1
1.143753445E0,-4.780874848E-1,-1.651237488E0,-5.997750163E-1
1.163753445E0,-6.638500094E-1,-1.547425032E0,-5.252500176E-1
1.183753445E0,-8.471375108E-1,-1.329900026E0,-3.407250047E-1
1.203753445E0,-9.924749732E-1,-1.185799956E0,-1.843875051E-1
