"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.388673100E-2,1.917000055E0,6.279000282E0,7.600950241E0
3.343781800E-2,2.092050076E0,6.439050198E0,7.816050529E0
5.343781800E-2,2.419950008E0,6.412950516E0,7.912050247E0
7.343781800E-2,2.500950098E0,6.517950535E0,7.680000305E0
9.343781800E-2,2.602050066E0,7.050000191E0,7.539000511E0
1.134378180E-1,2.187000036E0,6.979950428E0,7.503000259E0
1.334378180E-1,1.941000104E0,6.765000343E0,7.701000214E0
1.534378180E-1,1.657950044E0,6.601950169E0,8.146950722E0
1.734378180E-1,1.881000042E0,6.451050282E0,8.572950363E0
1.934378180E-1,1.789950132E0,6.564000130E0,8.359950066E0
2.134378180E-1,1.323000073E0,6.388950348E0,8.013000488E0
2.334378180E-1,8.470500112E-1,6.355050087E0,7.921950340E0
2.534378180E-1,5.470499992E-1,6.403050423E0,7.776000500E0
2.734378180E-1,5.209500194E-1,6.396000385E0,7.663050175E0
2.934378180E-1,2.070000172E-1,6.505950451E0,7.735050201E0
3.134378180E-1,5.160000324E-1,6.472950459E0,7.888050556E0
3.334378180E-1,6.379500031E-1,5.692050457E0,7.678050518E0
3.534378180E-1,1.333050013E0,5.488950253E0,7.278000355E0
3.734378180E-1,3.870000243E-1,6.745950222E0,7.134000301E0
3.934378180E-1,7.304999977E-2,8.083950043E0,7.527000427E0
4.134378180E-1,9.229500294E-1,7.279950142E0,7.768050194E0
4.334378180E-1,1.006950021E0,7.069050312E0,7.654050350E0
4.534378180E-1,9.690000415E-1,7.477950573E0,7.606050491E0
4.734378180E-1,9.690000415E-1,7.477950573E0,7.606050491E0
4.934378180E-1,6.430500150E-1,7.170000553E0,8.407950401E0
5.134378180E-1,-6.060000062E-1,7.998000145E0,8.194950104E0
5.334378180E-1,1.549500078E-1,6.031950474E0,6.460950375E0
5.534378180E-1,-6.990000606E-1,6.846000195E0,5.640000343E0
5.734378180E-1,-7.279500365E-1,6.633000374E0,5.058000088E0
5.934378180E-1,1.057050109E0,5.698950291E0,5.650050163E0
6.134378180E-1,1.057050109E0,5.698950291E0,5.650050163E0
6.334378180E-1,-2.710500062E-1,6.139950275E0,4.120050430E0
6.534378180E-1,-6.180000305E-1,5.647050381E0,3.535050154E0
6.734378180E-1,-3.229500055E-1,5.520000458E0,3.379950047E0
6.934378180E-1,1.395000100E0,5.292000294E0,2.926950216E0
7.134378180E-1,8.509500623E-1,4.756050110E0,2.455950022E0
7.334378180E-1,-3.139500022E-1,4.162050247E0,2.407950163E0
7.534378180E-1,-9.169500470E-1,3.303000212E0,3.226950169E0
7.734378180E-1,-3.379500210E-1,2.838000059E0,4.558050156E0
7.934378180E-1,7.200000286E-1,2.505000114E0,3.825000286E0
8.134378180E-1,2.439000130E0,1.354050040E0,1.809000134E0
8.334378180E-1,2.371950150E0,3.220500052E-1,1.882950068E0
8.534378180E-1,2.350050211E0,-2.250000089E-1,3.136050224E0
8.734378180E-1,3.294000149E0,-3.160500228E-1,2.809950113E0
8.934378180E-1,3.768000126E0,-1.690950036E0,3.720000267E0
9.134378180E-1,4.708950043E0,-1.983000040E0,7.527000427E0
9.334378180E-1,4.708950043E0,-1.983000040E0,7.527000427E0
9.534378180E-1,8.587050438E0,-2.929050207E0,7.500000477E0
9.734378180E-1,9.010950089E0,-2.907000065E0,8.149050713E0
9.934378180E-1,1.003305054E1,-3.807000160E0,1.084305096E1
1.013437818E0,1.077600098E1,-3.427050114E0,1.201395035E1
1.033437818E0,1.264995098E1,-4.830000401E0,1.089300060E1
1.053437818E0,1.411605072E1,-5.292000294E0,1.186305046E1
1.073437818E0,1.530600071E1,-6.175050259E0,1.504995060E1
1.093437818E0,1.469805050E1,-6.706950188E0,1.684500122E1
1.113437818E0,1.329405022E1,-6.208950520E0,1.818405151E1
1.133437818E0,1.257600021E1,-5.677050114E0,1.722600174E1
1.153437818E0,1.212600040E1,-5.149950027E0,1.557600117E1
1.173437818E0,1.118505096E1,-4.954050064E0,1.460895061E1
1.193437818E0,1.031400013E1,-4.498950005E0,1.424295044E1
1.213437818E0,1.001400089E1,-3.690000057E0,1.345500088E1
1.233437818E0,9.946950912E0,-2.871000051E0,1.219305038E1
1.253437818E0,9.532950401E0,-2.167050123E0,1.063005066E1
1.273437818E0,8.494050026E0,-1.341000080E0,9.160050392E0
1.293437818E0,7.050000191E0,-4.620000124E-1,8.089050293E0
1.313437818E0,7.050000191E0,-4.620000124E-1,8.089050293E0
1.333437818E0,5.113050461E0,8.460000157E-1,7.117050171E0
1.353437818E0,4.728000164E0,9.709500670E-1,7.246950150E0
1.373437818E0,4.195950031E0,8.320500255E-1,7.512000561E0
1.393437818E0,3.765000105E0,5.179499984E-1,7.777950287E0
1.413437818E0,3.717000246E0,2.500500083E-1,8.286000252E0
