"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.388675500E-2,3.561250120E-2,4.331250116E-2,-2.243999988E-1
4.298626900E-2,1.161874980E-1,-3.492499888E-2,-2.902624905E-1
4.776119800E-2,1.394249946E-1,-2.392499894E-2,-3.220250010E-1
5.253719800E-2,1.626625061E-1,-4.399999976E-3,-3.452624977E-1
7.253719800E-2,1.956624985E-1,1.311749965E-1,-4.014999866E-1
9.253719800E-2,1.931875050E-1,7.012499869E-2,-5.212625265E-1
1.125371980E-1,1.381874979E-1,-9.212499484E-3,-5.993624926E-1
1.325371980E-1,8.318749815E-2,-8.016250283E-2,-6.335999966E-1
1.525371980E-1,1.064250022E-1,-1.277374923E-1,-6.226000190E-1
1.725371980E-1,2.359499931E-1,-1.021625027E-1,-7.276499867E-1
1.925371980E-1,2.750000060E-1,-7.150000334E-2,-7.936499715E-1
2.125371980E-1,2.591874897E-1,-4.963750020E-2,-7.863624692E-1
2.325371980E-1,2.457125038E-1,-3.368749842E-2,-7.178875208E-1
2.525371980E-1,2.199999988E-1,2.859999985E-2,-6.335999966E-1
2.725371980E-1,2.139499933E-1,-2.021249942E-2,-5.627874732E-1
2.925371980E-1,2.506625056E-1,-1.277374923E-1,-5.102624893E-1
3.125371980E-1,2.419999987E-1,-2.182125002E-1,-4.809750021E-1
3.325371980E-1,1.211374998E-1,-4.673624933E-1,-5.065500140E-1
3.525371980E-1,-1.219625026E-1,-5.088874698E-1,-6.727874875E-1
3.725371980E-1,-2.894375026E-1,-6.078875065E-1,-5.725499988E-1
3.925371980E-1,-2.551999986E-1,-6.041749716E-1,-6.665999889E-1
4.125371980E-1,-2.099625021E-1,-4.637874961E-1,-8.071249723E-1
4.325371980E-1,-1.867250055E-1,-1.802625060E-1,-7.594124675E-1
4.525371980E-1,-1.208624989E-1,1.935999990E-1,-8.633624911E-1
4.725371980E-1,1.223749965E-1,5.759875178E-1,-8.608874679E-1
4.925371980E-1,4.522374868E-1,7.713750005E-1,-9.244124889E-1
5.125371980E-1,7.893875241E-1,5.527499914E-1,-6.568375230E-1
5.325371980E-1,7.991499901E-1,5.099874735E-1,-8.205999732E-1
5.525371980E-1,6.561499834E-1,2.594625056E-1,-7.875999808E-1
5.725371980E-1,4.985750020E-1,3.024999984E-3,-6.445999742E-1
5.925371980E-1,6.268625259E-1,-2.633124888E-1,-1.028224945E0
6.125371980E-1,5.695250034E-1,-2.169750035E-1,-1.250562549E0
6.325371980E-1,2.334749997E-1,-4.747875035E-1,-1.180987477E0
6.525371980E-1,1.718750037E-2,-3.695999980E-1,-1.039224982E0
6.725371980E-1,-2.914999984E-2,-3.477374911E-1,-1.106462479E0
6.925371980E-1,-2.551999986E-1,-3.415499926E-1,-1.756425023E0
7.125371980E-1,-6.901124716E-1,-5.651249886E-1,-1.801524997E0
7.325371980E-1,-7.743999958E-1,-6.958875060E-1,-1.529137492E0
7.525371980E-1,-5.471125245E-1,-1.233374953E0,-1.194462538E0
7.725371980E-1,-2.356749922E-1,-1.748999953E0,-8.168874979E-1
7.925371980E-1,-4.800125062E-1,-1.448424935E0,-6.715499759E-1
8.125371980E-1,-1.093262553E0,-1.039224982E0,-7.473124862E-1
8.325371980E-1,-1.165312529E0,-1.362900019E0,-6.433625221E-1
8.525371980E-1,-1.430412531E0,-1.970100045E0,-5.895999670E-1
8.725371980E-1,-2.498237371E0,-2.065387487E0,-5.565999746E-1
